name,salary_from,salary_to,salary_currency,area_name,published_at
Руководитель проектов,150000,,RUR,Новосибирск,2022-12-18T06:42:27+0300
Графический дизайнер,50000,70000,RUR,Москва,2022-12-18T06:09:38+0300
Консультант 1С,250000,500000,KZT,Алматы,2022-12-18T06:57:15+0300
Инженер-механик,100000,120000,RUR,Астрахань,2022-12-18T06:15:03+0300
Руководитель e-Commerce,,,,Алматы,2022-12-18T06:05:17+0300
Инженер технической поддержки (сервисный инженер),220000,317000,KZT,Алматы,2022-12-18T06:41:57+0300
Слесарь механосборочных работ,,150000,RUR,Тюмень,2022-12-18T06:37:24+0300
Системный администратор,50000,,RUR,Якутск,2022-12-18T06:50:18+0300
Теплотехник,82000,,RUR,Иркутск,2022-12-18T06:20:10+0300
Электрослесарь по обслуживанию и ремонту оборудования подземный,,,,Мирный (Республика Саха (Якутия)),2022-12-18T06:56:26+0300
Холодильщик/Сервисный инженер холодильного оборудования,70000,110000,RUR,Казань,2022-12-18T06:06:26+0300
Middle Unity Developer,,,,Тбилиси,2022-12-18T06:26:32+0300
Токарь-расточник,60000,,RUR,Барнаул,2022-12-18T06:31:16+0300
Специалист по тестированию ПО (middle),140000,,RUR,Томск,2022-12-18T06:25:11+0300
Аналитик 1С,,,,Новосибирск,2022-12-18T06:30:43+0300
Инженер радиовещания,40000,55000,RUR,Ижевск,2022-12-18T06:12:37+0300
Программист 1С УПП,160000,,RUR,Новосибирск,2022-12-18T06:05:00+0300
Оформитель торгового комплекса (Уральский проспект),29600,33600,RUR,Нижний Тагил,2022-12-18T06:20:48+0300
Электромеханик по клетьевому стволу,,,,Мирный (Республика Саха (Якутия)),2022-12-18T06:45:16+0300
Механик,35000,40000,RUR,Омск,2022-12-18T06:10:11+0300
Ведущий программист 1С,120000,200000,RUR,Новосибирск,2022-12-18T06:36:29+0300
Middle Unity Developer,,,,Ташкент,2022-12-18T06:26:32+0300
Токарь,54000,94000,RUR,Пермь,2022-12-18T06:10:27+0300
Системный администратор 1С,37000,37000,RUR,Омск,2022-12-18T06:51:45+0300
Системный администратор/техник-программист/сервисный инженер,170000,200000,KZT,Усть-Каменогорск,2022-12-18T06:43:59+0300
Project manager,400000,,KZT,Алматы,2022-12-18T06:58:35+0300
Analytics Team Lead,,,,Минск,2022-12-18T06:33:07+0300
Программист 1C,120000,,RUR,Новосибирск,2022-12-18T06:30:43+0300
Разработчик 1С,,200000,RUR,Москва,2022-12-18T06:45:00+0300
Android Tech Lead,,,,Алматы,2022-12-18T06:27:35+0300
Unity Team Lead,,,,Ташкент,2022-12-18T06:19:16+0300
Senior Unity Developer,,,,Тбилиси,2022-12-18T06:27:15+0300
Дизайнер инфографики для маркетплейсов,,,,Екатеринбург,2022-12-18T07:17:41+0300
Системный инженер,2000,,USD,Ташкент,2022-12-18T07:28:19+0300
Механик по ремонту,100000,150000,RUR,Благовещенск (Амурская область),2022-12-18T07:44:22+0300
Оператор ЧПУ по распиловке,50000,80000,RUR,Омск,2022-12-18T07:24:23+0300
